Id,Category,Catagotry_Num,Date,Day_Num,Day,Time_Num,Time,District,Category_Count_In_Dist
242,住宅竊盜,1,2015/5/28,4,Thu,2,04~06,文山區,117
243,住宅竊盜,1,2015/5/28,4,Thu,7,19~21,士林區,195
244,住宅竊盜,1,2015/5/29,5,Fri,6,16~18,大同區,84
245,住宅竊盜,1,2015/5/29,5,Fri,8,22~24,大同區,84
246,住宅竊盜,1,2015/5/31,7,Sun,8,22~24,文山區,117
247,住宅竊盜,1,2015/5/31,7,Sun,8,22~24,信義區,113
248,住宅竊盜,1,2015/6/1,1,Mon,8,22~24,中山區,223
249,住宅竊盜,1,2015/6/2,2,Tue,5,13~15,北投區,169
250,住宅竊盜,1,2015/6/3,3,Wed,6,16~18,中山區,223
251,住宅竊盜,1,2015/6/6,6,Sat,2,04~06,中山區,223
252,住宅竊盜,1,2015/6/6,6,Sat,4,10~12,松山區,127
253,住宅竊盜,1,2015/6/6,6,Sat,7,19~21,松山區,127
254,住宅竊盜,1,2015/6/7,7,Sun,3,07~09,中山區,223
255,住宅竊盜,1,2015/6/7,7,Sun,4,10~12,大安區,150
256,住宅竊盜,1,2015/6/8,1,Mon,3,07~09,中山區,223
257,住宅竊盜,1,2015/6/8,1,Mon,5,13~15,士林區,195
258,住宅竊盜,1,2015/6/8,1,Mon,8,22~24,中山區,223
259,住宅竊盜,1,2015/6/9,2,Tue,6,16~18,文山區,117
260,住宅竊盜,1,2015/6/12,5,Fri,4,10~12,信義區,113
261,住宅竊盜,1,2015/6/15,1,Mon,4,10~12,中山區,223
262,住宅竊盜,1,2015/6/15,1,Mon,6,16~18,大安區,150
263,住宅竊盜,1,2015/6/15,1,Mon,8,22~24,文山區,117
264,住宅竊盜,1,2015/6/16,2,Tue,3,07~09,萬華區,154
265,住宅竊盜,1,2015/6/16,2,Tue,5,13~15,文山區,117
266,住宅竊盜,1,2015/6/16,2,Tue,5,13~15,文山區,117
267,住宅竊盜,1,2015/6/19,5,Fri,3,07~09,中山區,223
268,住宅竊盜,1,2015/6/19,5,Fri,3,07~09,文山區,117
269,住宅竊盜,1,2015/6/19,5,Fri,7,19~21,中正區,129
270,住宅竊盜,1,2015/6/20,6,Sat,2,04~06,松山區,127
271,住宅竊盜,1,2015/6/20,6,Sat,4,10~12,信義區,113
272,住宅竊盜,1,2015/6/21,7,Sun,4,10~12,士林區,195
273,住宅竊盜,1,2015/6/22,1,Mon,3,07~09,北投區,169
274,住宅竊盜,1,2015/6/22,1,Mon,5,13~15,士林區,195
275,住宅竊盜,1,2015/6/22,1,Mon,5,13~15,士林區,195
276,住宅竊盜,1,2015/6/23,2,Tue,8,22~24,大安區,150
277,住宅竊盜,1,2015/6/24,3,Wed,2,04~06,中山區,223
278,住宅竊盜,1,2015/6/24,3,Wed,7,19~21,中正區,129
279,住宅竊盜,1,2015/6/25,4,Thu,8,22~24,中山區,223
280,住宅竊盜,1,2015/6/28,7,Sun,1,01~03,士林區,195
281,住宅竊盜,1,2015/6/28,7,Sun,6,16~18,內湖區,171
282,住宅竊盜,1,2015/6/28,7,Sun,6,16~18,南港區,82
283,住宅竊盜,1,2015/6/28,7,Sun,8,22~24,中山區,223
284,住宅竊盜,1,2015/6/28,7,Sun,8,22~24,中山區,223
285,住宅竊盜,1,2015/6/30,2,Tue,8,22~24,北投區,169
286,住宅竊盜,1,2015/7/1,3,Wed,3,07~09,中正區,129
287,住宅竊盜,1,2015/7/1,3,Wed,6,16~18,中山區,223
288,住宅竊盜,1,2015/7/1,3,Wed,8,22~24,中山區,223
289,住宅竊盜,1,2015/7/2,4,Thu,7,19~21,士林區,195
290,住宅竊盜,1,2015/7/3,5,Fri,1,01~03,中山區,223
291,住宅竊盜,1,2015/7/3,5,Fri,5,13~15,內湖區,171
292,住宅竊盜,1,2015/7/4,6,Sat,2,04~06,信義區,113
293,住宅竊盜,1,2015/7/7,2,Tue,1,01~03,萬華區,154
294,住宅竊盜,1,2015/7/7,2,Tue,3,07~09,文山區,117
295,住宅竊盜,1,2015/7/7,2,Tue,7,19~21,萬華區,154
296,住宅竊盜,1,2015/7/8,3,Wed,4,10~12,文山區,117
297,住宅竊盜,1,2015/7/9,4,Thu,1,01~03,中山區,223
298,住宅竊盜,1,2015/7/10,5,Fri,1,01~03,中山區,223
299,住宅竊盜,1,2015/7/12,7,Sun,6,16~18,萬華區,154
300,住宅竊盜,1,2015/7/13,1,Mon,8,22~24,中山區,223
301,住宅竊盜,1,2015/7/13,1,Mon,8,22~24,中正區,129
302,住宅竊盜,1,2015/7/14,2,Tue,3,07~09,萬華區,154
303,住宅竊盜,1,2015/7/14,2,Tue,8,22~24,中山區,223
304,住宅竊盜,1,2015/7/15,3,Wed,4,10~12,萬華區,154
305,住宅竊盜,1,2015/7/15,3,Wed,5,13~15,信義區,113
306,住宅竊盜,1,2015/7/15,3,Wed,7,19~21,中山區,223
307,住宅竊盜,1,2015/7/16,4,Thu,3,07~09,大安區,150
308,住宅竊盜,1,2015/7/17,5,Fri,1,01~03,中山區,223
309,住宅竊盜,1,2015/7/18,6,Sat,1,01~03,北投區,169
310,住宅竊盜,1,2015/7/18,6,Sat,5,13~15,松山區,127
311,住宅竊盜,1,2015/7/18,6,Sat,6,16~18,萬華區,154
312,住宅竊盜,1,2015/7/18,6,Sat,7,19~21,北投區,169
313,住宅竊盜,1,2015/7/20,1,Mon,6,16~18,北投區,169
314,住宅竊盜,1,2015/7/20,1,Mon,7,19~21,士林區,195
315,住宅竊盜,1,2015/7/20,1,Mon,8,22~24,萬華區,154
316,住宅竊盜,1,2015/7/21,2,Tue,4,10~12,松山區,127
317,住宅竊盜,1,2015/7/21,2,Tue,8,22~24,信義區,113
318,住宅竊盜,1,2015/7/22,3,Wed,5,13~15,大同區,84
319,住宅竊盜,1,2015/7/22,3,Wed,6,16~18,萬華區,154
320,住宅竊盜,1,2015/7/23,4,Thu,3,07~09,松山區,127
321,住宅竊盜,1,2015/7/24,5,Fri,5,13~15,內湖區,171
322,住宅竊盜,1,2015/7/25,6,Sat,4,10~12,松山區,127
323,住宅竊盜,1,2015/7/25,6,Sat,5,13~15,信義區,113
324,住宅竊盜,1,2015/7/27,1,Mon,3,07~09,松山區,127
325,住宅竊盜,1,2015/7/27,1,Mon,3,07~09,松山區,127
326,住宅竊盜,1,2015/7/27,1,Mon,7,19~21,士林區,195
327,住宅竊盜,1,2015/7/29,3,Wed,4,10~12,松山區,127
328,住宅竊盜,1,2015/7/30,4,Thu,5,13~15,大同區,84
329,住宅竊盜,1,2015/7/30,4,Thu,6,16~18,萬華區,154
330,住宅竊盜,1,2015/7/31,5,Fri,1,01~03,松山區,127
331,住宅竊盜,1,2015/7/31,5,Fri,2,04~06,松山區,127
332,住宅竊盜,1,2015/7/31,5,Fri,3,07~09,中正區,129
333,住宅竊盜,1,2015/7/31,5,Fri,4,10~12,松山區,127
334,住宅竊盜,1,2015/7/31,5,Fri,5,13~15,松山區,127
335,住宅竊盜,1,2015/7/31,5,Fri,7,19~21,南港區,82
336,住宅竊盜,1,2015/7/31,5,Fri,8,22~24,中山區,223
337,住宅竊盜,1,2015/8/1,6,Sat,8,22~24,中山區,223
338,住宅竊盜,1,2015/8/3,1,Mon,8,22~24,文山區,117
339,住宅竊盜,1,2015/8/4,2,Tue,2,04~06,士林區,195
340,住宅竊盜,1,2015/8/5,3,Wed,5,13~15,松山區,127
341,住宅竊盜,1,2015/8/6,4,Thu,5,13~15,內湖區,171
342,住宅竊盜,1,2015/8/6,4,Thu,6,16~18,北投區,169
343,住宅竊盜,1,2015/8/7,5,Fri,1,01~03,中山區,223
344,住宅竊盜,1,2015/8/10,1,Mon,5,13~15,萬華區,154
345,住宅竊盜,1,2015/8/10,1,Mon,6,16~18,內湖區,171
346,住宅竊盜,1,2015/8/10,1,Mon,7,19~21,中山區,223
347,住宅竊盜,1,2015/8/10,1,Mon,7,19~21,中山區,223
348,住宅竊盜,1,2015/8/11,2,Tue,2,04~06,士林區,195
349,住宅竊盜,1,2015/8/11,2,Tue,4,10~12,士林區,195
350,住宅竊盜,1,2015/8/12,3,Wed,3,07~09,大同區,84
351,住宅竊盜,1,2015/8/12,3,Wed,7,19~21,中山區,223
352,住宅竊盜,1,2015/8/13,4,Thu,5,13~15,信義區,113
353,住宅竊盜,1,2015/8/13,4,Thu,6,16~18,北投區,169
354,住宅竊盜,1,2015/8/14,5,Fri,3,07~09,大安區,150
355,住宅竊盜,1,2015/8/14,5,Fri,4,10~12,文山區,117
356,住宅竊盜,1,2015/8/15,6,Sat,3,07~09,大同區,84
357,住宅竊盜,1,2015/8/15,6,Sat,3,07~09,信義區,113
358,住宅竊盜,1,2015/8/15,6,Sat,4,10~12,大安區,150
359,住宅竊盜,1,2015/8/15,6,Sat,4,10~12,大安區,150
360,住宅竊盜,1,2015/8/15,6,Sat,5,13~15,大同區,84
361,住宅竊盜,1,2015/8/15,6,Sat,5,13~15,大安區,150
362,住宅竊盜,1,2015/8/17,1,Mon,1,01~03,北投區,169
363,住宅竊盜,1,2015/8/17,1,Mon,1,01~03,信義區,113
364,住宅竊盜,1,2015/8/17,1,Mon,6,16~18,松山區,127
365,住宅竊盜,1,2015/8/17,1,Mon,7,19~21,士林區,195
366,住宅竊盜,1,2015/8/18,2,Tue,7,19~21,南港區,82
367,住宅竊盜,1,2015/8/20,4,Thu,1,01~03,信義區,113
368,住宅竊盜,1,2015/8/21,5,Fri,8,22~24,南港區,82
369,住宅竊盜,1,2015/8/22,6,Sat,3,07~09,中山區,223
370,住宅竊盜,1,2015/8/22,6,Sat,8,22~24,文山區,117
371,住宅竊盜,1,2015/8/23,7,Sun,1,01~03,中正區,129
372,住宅竊盜,1,2015/8/23,7,Sun,7,19~21,北投區,169
