Id,Category,Date,Day_Num,Day,Time_Num,Time,District,Latitude,Longitude
127,Home,2015/3/12,4,Thu,1,01~03,Zhongzheng,25.0148136,121.5341071
128,Home,2015/3/12,4,Thu,4,10~12,Datong,25.0716019,121.5161753
129,Home,2015/3/12,4,Thu,6,16~18,Daan,25.024314,121.528051
130,Home,2015/3/13,5,Fri,1,01~03,Beitou,25.138526,121.4993383
131,Home,2015/3/14,6,Sat,1,01~03,Wenshan,24.9853697,121.5493757
132,Home,2015/3/15,7,Sun,1,01~03,Wanhua,25.0212289,121.4939482
133,Home,2015/3/16,1,Mon,3,07~09,Daan,25.0267059,121.530724
134,Home,2015/3/16,1,Mon,3,07~09,Zhongzheng,25.0236222,121.5160928
135,Home,2015/3/17,2,Tue,1,01~03,Beitou,25.1093658,121.5213423
136,Home,2015/3/17,2,Tue,4,10~12,Nangang,25.0453813,121.5847315
137,Home,2015/3/19,4,Thu,4,10~12,Wenshan,25.005707,121.5345865
138,Home,2015/3/19,4,Thu,8,22~24,Beitou,25.1254108,121.5291511
139,Home,2015/3/20,5,Fri,4,10~12,Wanhua,25.032055,121.4938714
140,Home,2015/3/20,5,Fri,7,19~21,Wanhua,25.0459289,121.5057576
141,Home,2015/3/24,2,Tue,3,07~09,Songshan,25.0626113,121.5467416
142,Home,2015/3/25,3,Wed,5,13~15,Daan,25.0232407,121.5359947
143,Home,2015/3/26,4,Thu,6,16~18,Wenshan,24.9983649,121.545216
144,Home,2015/3/27,5,Fri,6,16~18,Wenshan,25.0006078,121.5392548
145,Home,2015/3/27,5,Fri,7,19~21,Xinyi,25.023736,121.553785
146,Home,2015/3/28,6,Sat,7,19~21,Zhongshan,25.0622391,121.5205202
147,Home,2015/3/29,7,Sun,3,07~09,Songshan,25.0517333,121.5582314
148,Home,2015/3/29,7,Sun,4,10~12,Shilin,25.0924659,121.5070007
149,Home,2015/3/29,7,Sun,6,16~18,Songshan,25.0593897,121.5471451
150,Home,2015/3/30,1,Mon,3,07~09,Zhongshan,25.0619102,121.5329986
151,Home,2015/3/30,1,Mon,4,10~12,Shilin,25.127505,121.575518
152,Home,2015/3/30,1,Mon,4,10~12,Wenshan,24.999615,121.567018
153,Home,2015/3/31,2,Tue,3,07~09,Neihu,25.0874689,121.5873952
154,Home,2015/3/31,2,Tue,8,22~24,Wanhua,25.019636,121.498797
155,Home,2015/4/1,3,Wed,5,13~15,Shilin,25.1180723,121.5272352
156,Home,2015/4/1,3,Wed,8,22~24,Zhongshan,25.0548159,121.5393591
157,Home,2015/4/4,6,Sat,5,13~15,Wenshan,24.9877709,121.569779
158,Home,2015/4/5,7,Sun,4,10~12,Wenshan,24.9833249,121.57879
159,Home,2015/4/5,7,Sun,7,19~21,Songshan,25.0499163,121.558019
160,Home,2015/4/5,7,Sun,8,22~24,Datong,25.0620658,121.511179
161,Home,2015/4/5,7,Sun,8,22~24,Neihu,25.0808562,121.5818908
162,Home,2015/4/7,2,Tue,1,01~03,Wanhua,25.042908,121.501544
163,Home,2015/4/7,2,Tue,4,10~12,Zhongshan,25.084429,121.546959
164,Home,2015/4/7,2,Tue,4,10~12,Neihu,25.0770963,121.5840202
165,Home,2015/4/8,3,Wed,4,10~12,Zhongzheng,25.0242424,121.5164483
166,Home,2015/4/8,3,Wed,6,16~18,Neihu,25.0695931,121.5908585
167,Home,2015/4/9,4,Thu,4,10~12,Zhongshan,25.065211,121.5293055
168,Home,2015/4/10,5,Fri,3,07~09,Beitou,25.1183908,121.5089842
169,Home,2015/4/10,5,Fri,6,16~18,Wanhua,25.0258864,121.4945405
170,Home,2015/4/10,5,Fri,7,19~21,Songshan,25.0587166,121.5630527
171,Home,2015/4/11,6,Sat,4,10~12,Neihu,25.0864375,121.5573647
